"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"26510-83450","MID","Lionel","Lionel Messi","Messi","26.600000381469727","1","12500","CRO@ARG","ARG","CRO","","","",""
"26510-83806","FWD","Antoine","Antoine Griezmann","Griezmann","30","1","11500","PER@FRA","FRA","PER","","","",""
"26510-83453","FWD","Sergio","Sergio Aguero","Aguero","26.899999618530273","1","11000","CRO@ARG","ARG","CRO","","","",""
"26510-83790","FWD","Kylian","Kylian Mbappe","Mbappe","12.300000190734863","1","9500","PER@FRA","FRA","PER","","","",""
"26510-83452","FWD","Gonzalo","Gonzalo Higuain","Higuain","0","1","9500","CRO@ARG","ARG","CRO","","","",""
"26510-83841","FWD","Mario","Mario Mandzukic","Mandzukic","12.899999618530273","1","9000","CRO@ARG","CRO","ARG","","","",""
"26510-83785","MID","Paul","Paul Pogba","Pogba","9.300000190734863","1","9000","PER@FRA","FRA","PER","","","",""
"26510-84160","FWD","Paulo","Paulo Dybala","Dybala","0","0","8500","CRO@ARG","ARG","CRO","","","",""
"26510-83798","FWD","Ousmane","Ousmane Dembele","Dembele","6.900000095367432","1","8500","PER@FRA","FRA","PER","","","",""
"26510-83445","MID","Eduardo","Eduardo Salvio","Salvio","20.700000762939453","1","8500","CRO@ARG","ARG","CRO","","","",""
"26510-84220","MID","Luka","Luka Modric","Modric","26.5","1","8500","CRO@ARG","CRO","ARG","","","",""
"26510-83713","FWD","Jefferson","Jefferson Farfan","Farfan","7.599999904632568","1","8000","PER@FRA","PER","FRA","","","",""
"26510-84162","MID","Angel","Angel Di Maria","Di Maria","6","1","8000","CRO@ARG","ARG","CRO","","","",""
"26510-83799","MID","Thomas","Thomas Lemar","Lemar","0","0","8000","PER@FRA","FRA","PER","","","",""
"26510-83807","MID","N'Golo","N'Golo Kante","Kante","11.699999809265137","1","8000","PER@FRA","FRA","PER","","","",""
"26510-83708","MID","Christian","Christian Cueva","Cueva","13.300000190734863","1","8000","PER@FRA","PER","FRA","","","",""
"26510-83853","MID","Ivan","Ivan Rakitic","Rakitic","15.5","1","7500","CRO@ARG","CRO","ARG","","","",""
"26510-84439","FWD","Jose Paolo","Paolo Guerrero","Guerrero","6.300000190734863","1","7500","PER@FRA","PER","FRA","","","",""
"26510-83801","MID","Corentin","Corentin Tolisso","Tolisso","5.199999809265137","1","7500","PER@FRA","FRA","PER","","","",""
"26510-83805","FWD","Olivier","Olivier Giroud","Giroud","0","1","7500","PER@FRA","FRA","PER","","","",""
"26510-83840","FWD","Andrej","Andrej Kramaric","Kramaric","2.5999999046325684","1","7000","CRO@ARG","CRO","ARG","","","",""
"26510-83843","MID","Mateo","Mateo Kovacic","Kovacic","8.899999618530273","1","7000","CRO@ARG","CRO","ARG","","","",""
"26510-83846","MID","Ivan","Ivan Perisic","Perisic","8.199999809265137","1","7000","CRO@ARG","CRO","ARG","","","",""
"26510-84366","FWD","Nabil","Nabil Fekir","Fekir","6.5","1","7000","PER@FRA","FRA","PER","","","",""
"26510-83434","FWD","Cristian","Cristian Pavon","Pavon","0","1","7000","CRO@ARG","ARG","CRO","","","",""
"26510-83694","MID","Edison","Edison Flores","Flores","10.600000381469727","1","7000","PER@FRA","PER","FRA","","","",""
"26510-83702","MID","Renato","Renato Tapia","Tapia","12.5","1","7000","PER@FRA","PER","FRA","","","",""
"26510-83451","MID","Ever","Ever Banega","Banega","7.599999904632568","1","7000","CRO@ARG","ARG","CRO","","","",""
"26510-83852","FWD","Ante","Ante Rebic","Rebic","8.199999809265137","1","6500","CRO@ARG","CRO","ARG","","","",""
"26510-83705","MID","Andre","Andre Carrillo","Carrillo","19.600000381469727","1","6500","PER@FRA","PER","FRA","","","",""
"26510-83455","MID","Javier","Javier Mascherano","Mascherano","18.799999237060547","1","6500","CRO@ARG","ARG","CRO","","","",""
"26510-83454","DEF","Nicolas","Nicolas Otamendi","Otamendi","18","1","6500","CRO@ARG","ARG","CRO","","","",""
