FWD,FWD,MID,MID,MID,DEF,DEF,GK,Projected,SalaryEdinson Cavani,Ayoub El Kaabi,Isco,David Silva,Bernardo Silva,Achraf Hakimi,Mehdi Benatia,David de Gea,140.2,60000
Edinson Cavani,Ayoub El Kaabi,Isco,David Silva,Hakim Ziyech,Mehdi Benatia,Jose Maria Gimenez,David de Gea,140.0,60000
Edinson Cavani,Ayoub El Kaabi,Isco,Hakim Ziyech,Bernardo Silva,Achraf Hakimi,Mehdi Benatia,David de Gea,139.5,58500
Edinson Cavani,Ayoub El Kaabi,Isco,Hakim Ziyech,Bernardo Silva,Achraf Hakimi,Jose Maria Gimenez,David de Gea,139.4,59000
Edinson Cavani,Ayoub El Kaabi,Isco,David Silva,Bernardo Silva,Mehdi Benatia,Jose Maria Gimenez,David de Gea,139.2,59500
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Mehdi Benatia,David de Gea,139.1,59000
Edinson Cavani,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Achraf Hakimi,Mehdi Benatia,David de Gea,139.0,57500
Edinson Cavani,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Achraf Hakimi,Jose Maria Gimenez,David de Gea,138.9,58000
Edinson Cavani,Ayoub El Kaabi,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Sergio Ramos,David de Gea,138.8,59000
Edinson Cavani,Ayoub El Kaabi,Isco,Hakim Ziyech,Bernardo Silva,Achraf Hakimi,Ahmed Hegazi,David de Gea,138.6,60000
Edinson Cavani,Ayoub El Kaabi,Isco,Hakim Ziyech,Bernardo Silva,Mehdi Benatia,Jose Maria Gimenez,David de Gea,138.5,58000
Cristiano Ronaldo,Ayoub El Kaabi,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Mehdi Benatia,David de Gea,138.4,58000
Cristiano Ronaldo,Ayoub El Kaabi,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Jose Maria Gimenez,David de Gea,138.3,58500
Edinson Cavani,Sardar Azmoun,Isco,Bernardo Silva,Matias Vecino,Achraf Hakimi,Jose Maria Gimenez,David de Gea,138.2,59000
Cristiano Ronaldo,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Mehdi Benatia,Jose Maria Gimenez,David de Gea,138.1,59000
Cristiano Ronaldo,Ayoub El Kaabi,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Martin Caceres,David de Gea,138.0,59500
Edinson Cavani,Ayoub El Kaabi,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Martin Caceres,David de Gea,137.9,57500
Sardar Azmoun,Ayoub El Kaabi,Isco,David Silva,Hakim Ziyech,Achraf Hakimi,Mehdi Benatia,David de Gea,137.8,58000
Sardar Azmoun,Ayoub El Kaabi,Isco,David Silva,Hakim Ziyech,Achraf Hakimi,Jose Maria Gimenez,David de Gea,137.7,58500
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Hakim Ziyech,Achraf Hakimi,Mehdi Benatia,David de Gea,137.6,58500
Edinson Cavani,Ayoub El Kaabi,Isco,Hakim Ziyech,Rodrigo Bentancur,Achraf Hakimi,Jordi Alba,David de Gea,137.5,59500
Sardar Azmoun,Ayoub El Kaabi,Isco,David Silva,Hakim Ziyech,Achraf Hakimi,Martin Caceres,David de Gea,137.4,59500
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Pepe,David de Gea,137.3,60000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Hakim Ziyech,Achraf Hakimi,Martin Caceres,David de Gea,137.2,60000
Cristiano Ronaldo,Ayoub El Kaabi,Isco,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Martin Caceres,David de Gea,137.1,58500
Edinson Cavani,Ayoub El Kaabi,Isco,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Martin Caceres,David de Gea,137.0,56500
Sardar Azmoun,Ayoub El Kaabi,Isco,David Silva,Hakim Ziyech,Achraf Hakimi,Pepe,David de Gea,136.9,60000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Bernardo Silva,Achraf Hakimi,Mehdi Benatia,David de Gea,136.8,58000
Edinson Cavani,Ayoub El Kaabi,Isco,David Silva,Joao Mario,Mehdi Benatia,Martin Caceres,David de Gea,136.7,60000
Sardar Azmoun,Ayoub El Kaabi,Isco,David Silva,Bernardo Silva,Achraf Hakimi,Martin Caceres,David de Gea,136.6,59000
Sardar Azmoun,Ayoub El Kaabi,Isco,David Silva,Hakim Ziyech,Mehdi Benatia,Martin Caceres,David de Gea,136.5,58500
Sardar Azmoun,Ayoub El Kaabi,Isco,David Silva,Hakim Ziyech,Jose Maria Gimenez,Martin Caceres,David de Gea,136.4,59000
Cristiano Ronaldo,Ayoub El Kaabi,Isco,Ricardo Quaresma,Matias Vecino,Achraf Hakimi,Jose Maria Gimenez,David de Gea,136.3,58500
Edinson Cavani,Ayoub El Kaabi,Isco,Hakim Ziyech,Nordin Amrabat,Jordi Alba,Mehdi Benatia,David de Gea,136.2,59500
Luis Suarez,Ayoub El Kaabi,Isco,David Silva,Rodrigo Bentancur,Mehdi Benatia,Jose Maria Gimenez,David de Gea,136.1,59000
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,Nordin Amrabat,Achraf Hakimi,Mehdi Benatia,David de Gea,136.0,60000
Edinson Cavani,Ayoub El Kaabi,Isco,Hakim Ziyech,Sergio Busquets,Achraf Hakimi,Mehdi Benatia,David de Gea,135.9,58000
Sardar Azmoun,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Achraf Hakimi,Mehdi Benatia,David de Gea,135.8,55000
Sardar Azmoun,Diego Costa,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Mehdi Benatia,David de Gea,135.7,57000
Edinson Cavani,Ayoub El Kaabi,Isco,Bernardo Silva,Matias Vecino,Jose Maria Gimenez,Ahmed Hegazi,David de Gea,135.6,56500
Sardar Azmoun,Diego Costa,Isco,David Silva,Matias Vecino,Jordi Alba,Mehdi Benatia,David de Gea,135.5,60000
Sardar Azmoun,Diego Costa,Isco,David Silva,Matias Vecino,Mehdi Benatia,Jose Maria Gimenez,David de Gea,135.4,58000
Edinson Cavani,Diego Costa,Isco,Matias Vecino,Nordin Amrabat,Achraf Hakimi,Martin Caceres,David de Gea,135.3,60000
Edinson Cavani,Diego Costa,David Silva,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Morteza Pouraliganji,David de Gea,135.2,60000
Luis Suarez,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Mehdi Benatia,Morteza Pouraliganji,David de Gea,135.1,57000
Edinson Cavani,Ayoub El Kaabi,David Silva,Ricardo Quaresma,Matias Vecino,Sergio Ramos,Mehdi Benatia,David de Gea,135.0,60000
Sardar Azmoun,Ayoub El Kaabi,Isco,Hakim Ziyech,Bernardo Silva,Jose Maria Gimenez,Martin Caceres,David de Gea,134.9,57000
Edinson Cavani,Diego Costa,Isco,Matias Vecino,Nordin Amrabat,Jordi Alba,Mehdi Benatia,David de Gea,134.8,60000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Jordi Alba,Mehdi Benatia,David de Gea,134.7,57000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Mehdi Benatia,Jose Maria Gimenez,David de Gea,134.6,55000
Edinson Cavani,Ayoub El Kaabi,David Silva,Ricardo Quaresma,Matias Vecino,Jordi Alba,Mehdi Benatia,David de Gea,134.5,59500
Edinson Cavani,Sardar Azmoun,Isco,Matias Vecino,Nordin Amrabat,Mehdi Benatia,Diego Godin,David de Gea,134.4,59500
Sardar Azmoun,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Mehdi Benatia,Diego Godin,David de Gea,134.3,56500
Edinson Cavani,Diego Costa,Isco,Matias Vecino,Nordin Amrabat,Mehdi Benatia,Diego Godin,David de Gea,134.2,60000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Mehdi Benatia,Diego Godin,David de Gea,134.1,57000
Cristiano Ronaldo,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Mehdi Benatia,Cedric Soares,David de Gea,134.0,59500
Sardar Azmoun,Ayoub El Kaabi,Isco,David Silva,Joao Mario,Jordi Alba,Mehdi Benatia,David de Gea,133.9,58500
Edinson Cavani,Andre Silva,Isco,Ricardo Quaresma,Matias Vecino,Achraf Hakimi,Mehdi Benatia,David de Gea,133.8,58500
Edinson Cavani,Ayoub El Kaabi,David Silva,Hakim Ziyech,Matias Vecino,Pepe,Morteza Pouraliganji,David de Gea,133.7,58500
Diego Costa,Ayoub El Kaabi,David Silva,Hakim Ziyech,Matias Vecino,Sergio Ramos,Mehdi Benatia,David de Gea,133.6,58000
Diego Costa,Ayoub El Kaabi,Isco,Hakim Ziyech,Joao Mario,Sergio Ramos,Mehdi Benatia,David de Gea,133.5,58000
Sardar Azmoun,Diego Costa,Isco,Hakim Ziyech,Matias Vecino,Sergio Ramos,Morteza Pouraliganji,David de Gea,133.4,58500
Edinson Cavani,Ayoub El Kaabi,Isco,Rodrigo Bentancur,Nordin Amrabat,Mehdi Benatia,Jose Maria Gimenez,David de Gea,133.3,55500
Sardar Azmoun,Ayoub El Kaabi,Isco,Hakim Ziyech,Joao Mario,Jordi Alba,Mehdi Benatia,David de Gea,133.2,57000
Diego Costa,Ayoub El Kaabi,David Silva,Hakim Ziyech,Matias Vecino,Jordi Alba,Mehdi Benatia,David de Gea,133.1,57500
Cristiano Ronaldo,Diego Costa,Isco,Matias Vecino,Nahitan Nandez,Achraf Hakimi,Mehdi Benatia,David de Gea,133.0,59500
Cristiano Ronaldo,Sardar Azmoun,Isco,Matias Vecino,William Carvalho,Mehdi Benatia,Ahmed Hegazi,David de Gea,132.9,60000
Sardar Azmoun,Diego Costa,Isco,Ricardo Quaresma,Matias Vecino,Jordi Alba,Mehdi Benatia,David de Gea,132.8,58500
Sardar Azmoun,Diego Costa,Isco,Bernardo Silva,Matias Vecino,Jordi Alba,Gerard Pique,David de Gea,132.7,59000
Cristiano Ronaldo,Ayoub El Kaabi,Isco,Matias Vecino,Andres Iniesta,Jordi Alba,Mehdi Benatia,David de Gea,132.6,59500
Edinson Cavani,Sardar Azmoun,Isco,Matias Vecino,Mohamed Elneny,Mehdi Benatia,Diego Godin,David de Gea,132.5,58500
Cristiano Ronaldo,Ayoub El Kaabi,Isco,Matias Vecino,Mohamed Elneny,Jordi Alba,Mehdi Benatia,David de Gea,132.4,57500
Edinson Cavani,Ayoub El Kaabi,Isco,Matias Vecino,Mohamed Elneny,Jordi Alba,Mehdi Benatia,David de Gea,132.3,55500
Sardar Azmoun,Diego Costa,Isco,David Silva,Matias Vecino,Ahmed Hegazi,Raphael Guerreiro,David de Gea,132.2,59500
Luis Suarez,Ayoub El Kaabi,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Sergio Ramos,Munir Mohand Mohamedi,132.1,58000
Diego Costa,Ayoub El Kaabi,Isco,Ricardo Quaresma,Matias Vecino,Jordi Alba,Mehdi Benatia,David de Gea,132.0,55500
Sardar Azmoun,Ayoub El Kaabi,Isco,Matias Vecino,Rodrigo Bentancur,Sergio Ramos,Jordi Alba,David de Gea,131.9,56000
Sardar Azmoun,Diego Costa,Isco,David Silva,Joao Mario,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,131.8,59500
Edinson Cavani,Diego Costa,Isco,Matias Vecino,Nordin Amrabat,Achraf Hakimi,Martin Caceres,Fernando Muslera,131.7,59000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Achraf Hakimi,Martin Caceres,Fernando Muslera,131.6,56000
Sardar Azmoun,Diego Costa,Isco,David Silva,Matias Vecino,Mehdi Benatia,Martin Caceres,Fernando Muslera,131.5,58000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Achraf Hakimi,Diego Godin,Fernando Muslera,131.4,57000
Sardar Azmoun,Diego Costa,Isco,David Silva,Matias Vecino,Mehdi Benatia,Diego Godin,Fernando Muslera,131.3,59000
Sardar Azmoun,Diego Costa,Isco,Matias Vecino,Joao Mario,Jordi Alba,Diego Godin,David de Gea,131.2,60000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Ricardo Quaresma,Jordi Alba,Mehdi Benatia,Fernando Muslera,131.1,59000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Joao Mario,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,131.0,56500
Edinson Cavani,Diego Costa,Isco,Giorgian De Arrascaeta,Nordin Amrabat,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,130.9,59500
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Rodrigo Bentancur,Achraf Hakimi,Martin Caceres,Fernando Muslera,130.8,57000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Ricardo Quaresma,Mehdi Benatia,Martin Caceres,Fernando Muslera,130.7,58000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Rodrigo Bentancur,Achraf Hakimi,Diego Godin,Fernando Muslera,130.6,58000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Ricardo Quaresma,Mehdi Benatia,Diego Godin,Fernando Muslera,130.5,59000
Cristiano Ronaldo,Diego Costa,Isco,Matias Vecino,Nordin Amrabat,Mehdi Benatia,Ahmed Hegazi,Fernando Muslera,130.4,60000
Cristiano Ronaldo,Diego Costa,Isco,Matias Vecino,Mohamed Elneny,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,130.3,58500
Edinson Cavani,Sardar Azmoun,Isco,Matias Vecino,Andres Iniesta,Achraf Hakimi,Martin Caceres,Fernando Muslera,130.2,59500
Cristiano Ronaldo,Ayoub El Kaabi,Isco,Joao Mario,Mohamed Elneny,Martin Caceres,Ahmed Hegazi,David de Gea,130.1,60000
Sardar Azmoun,Ayoub El Kaabi,Isco,David Silva,Matias Vecino,Martin Caceres,Ahmed Hegazi,Fernando Muslera,130.0,56000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Nordin Amrabat,Jordi Alba,Mehdi Benatia,Fernando Muslera,129.9,58000
Cristiano Ronaldo,Ayoub El Kaabi,Isco,Matias Vecino,Rodrigo Bentancur,Martin Caceres,Ahmed Hegazi,Fernando Muslera,129.8,57000
Sardar Azmoun,Diego Costa,Isco,Ricardo Quaresma,Matias Vecino,Achraf Hakimi,Martin Caceres,Fernando Muslera,129.7,57500
Cristiano Ronaldo,Ayoub El Kaabi,Isco,Matias Vecino,Rodrigo Bentancur,Diego Godin,Ahmed Hegazi,Fernando Muslera,129.6,58000
Sardar Azmoun,Diego Costa,Isco,Ricardo Quaresma,Matias Vecino,Achraf Hakimi,Diego Godin,Fernando Muslera,129.5,58500
Edinson Cavani,Ayoub El Kaabi,David Silva,Ricardo Quaresma,Matias Vecino,Martin Caceres,Mohamed Abdul Shafy,David de Gea,129.4,58000
Sardar Azmoun,Diego Costa,Isco,Matias Vecino,Andres Iniesta,Mehdi Benatia,Diego Godin,David de Gea,129.3,58500
Edinson Cavani,Sardar Azmoun,David Silva,Matias Vecino,Joao Mario,Martin Caceres,Mohamed Abdul Shafy,David de Gea,129.2,60000
Diego Costa,Ayoub El Kaabi,Isco,Matias Vecino,Andres Iniesta,Jordi Alba,Mehdi Benatia,David de Gea,129.1,55500
Cristiano Ronaldo,Ayoub El Kaabi,Ricardo Quaresma,Matias Vecino,Andres Iniesta,Jordi Alba,Mehdi Benatia,David de Gea,129.0,60000
Sardar Azmoun,Diego Costa,Isco,Matias Vecino,Andres Iniesta,Martin Caceres,Diego Godin,David de Gea,128.9,60000
Diego Costa,Ayoub El Kaabi,Isco,David Silva,Moubarak Boussoufa,Martin Caceres,Diego Godin,David de Gea,128.8,58500
Diego Costa,Ayoub El Kaabi,Isco,Ricardo Quaresma,Andres Iniesta,Jordi Alba,Martin Caceres,David de Gea,128.7,60000
Cristiano Ronaldo,Ayoub El Kaabi,Ricardo Quaresma,Matias Vecino,Andres Iniesta,Mehdi Benatia,Martin Caceres,David de Gea,128.6,59000
Diego Costa,Ayoub El Kaabi,Isco,Ricardo Quaresma,Andres Iniesta,Mehdi Benatia,Diego Godin,David de Gea,128.5,58500
Sardar Azmoun,Ayoub El Kaabi,David Silva,Ricardo Quaresma,Andres Iniesta,Jordi Alba,Mehdi Benatia,David de Gea,128.4,60000
Sardar Azmoun,Diego Costa,Hakim Ziyech,Matias Vecino,Andres Iniesta,Jordi Alba,Mehdi Benatia,David de Gea,128.3,59000
Sardar Azmoun,Diego Costa,Hakim Ziyech,Matias Vecino,Andres Iniesta,Mehdi Benatia,Jose Maria Gimenez,David de Gea,128.2,57000
Sardar Azmoun,Ayoub El Kaabi,Hakim Ziyech,Matias Vecino,Andres Iniesta,Sergio Ramos,Jose Maria Gimenez,David de Gea,128.1,56500
Diego Costa,Ayoub El Kaabi,Hakim Ziyech,Matias Vecino,Andres Iniesta,Sergio Ramos,Jordi Alba,David de Gea,128.0,59000
Diego Costa,Ayoub El Kaabi,Hakim Ziyech,Matias Vecino,Andres Iniesta,Sergio Ramos,Jose Maria Gimenez,David de Gea,127.9,57000
Diego Costa,Ayoub El Kaabi,Hakim Ziyech,Bernardo Silva,Andres Iniesta,Mehdi Benatia,Pepe,David de Gea,127.8,58000
Sardar Azmoun,Ayoub El Kaabi,Hakim Ziyech,Matias Vecino,Andres Iniesta,Jordi Alba,Mehdi Benatia,David de Gea,127.7,55500
Edinson Cavani,Diego Costa,Matias Vecino,Joao Mario,Andres Iniesta,Mehdi Benatia,Ahmed Hegazi,David de Gea,127.6,59500
Sardar Azmoun,Diego Costa,Bernardo Silva,Matias Vecino,Andres Iniesta,Jordi Alba,Mehdi Benatia,David de Gea,127.5,58500
Sardar Azmoun,Diego Costa,Bernardo Silva,Ricardo Quaresma,Andres Iniesta,Mehdi Benatia,Jose Maria Gimenez,David de Gea,127.4,59500
Diego Costa,Ayoub El Kaabi,Isco,Matias Vecino,Andres Iniesta,Ahmed Hegazi,Pepe,David de Gea,127.3,56500
Edinson Cavani,Diego Costa,Matias Vecino,Joao Mario,Andres Iniesta,Mehdi Benatia,Gerard Pique,David de Gea,127.2,59000
Edinson Cavani,Ayoub El Kaabi,Ricardo Quaresma,Matias Vecino,Andres Iniesta,Ahmed Hegazi,Pepe,David de Gea,127.1,59000
Sardar Azmoun,Diego Costa,Hakim Ziyech,Matias Vecino,Andres Iniesta,Jordi Alba,Gerard Pique,David de Gea,127.0,60000
Diego Costa,Ayoub El Kaabi,David Silva,Matias Vecino,Andres Iniesta,Jordi Alba,Gerard Pique,David de Gea,126.9,58500
Sardar Azmoun,Ayoub El Kaabi,Hakim Ziyech,Matias Vecino,Andres Iniesta,Jordi Alba,Ahmed Hegazi,David de Gea,126.8,57000
Edinson Cavani,Sardar Azmoun,Matias Vecino,Rodrigo Bentancur,Andres Iniesta,Ahmed Hegazi,Gerard Pique,David de Gea,126.7,59000
Diego Costa,Ayoub El Kaabi,Hakim Ziyech,Matias Vecino,Andres Iniesta,Jordi Alba,Ahmed Hegazi,David de Gea,126.6,57500
Diego Costa,Karim Ansarifard,Isco,David Silva,Joao Mario,Mehdi Benatia,Gerard Pique,David de Gea,126.5,56500
