FWD,FWD,MID,MID,MID,DEF,DEF,GK,Projected,Salary
Edinson Cavani,Sardar Azmoun,Isco,David Silva,Matias Vecino,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,136.2,59500
Edinson Cavani,Sardar Azmoun,Isco,David Silva,Matias Vecino,Achraf Hakimi,Jose Maria Gimenez,Fernando Muslera,136.1,60000
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Bernardo Silva,Mehdi Benatia,Jose Maria Gimenez,Fernando Muslera,135.7,60000
Cristiano Ronaldo,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,135.6,60000
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,135.5,58000
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Jose Maria Gimenez,Fernando Muslera,135.4,58500
Edinson Cavani,Sardar Azmoun,Isco,David Silva,Matias Vecino,Mehdi Benatia,Jose Maria Gimenez,Fernando Muslera,135.2,59000
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Martin Caceres,Fernando Muslera,135.1,59500
Cristiano Ronaldo,Edinson Cavani,Isco,Matias Vecino,Rodrigo Bentancur,Mehdi Benatia,Jose Maria Gimenez,Fernando Muslera,135.0,60000
Edinson Cavani,Sardar Azmoun,Isco,David Silva,Matias Vecino,Mehdi Benatia,Martin Caceres,Fernando Muslera,134.9,60000
Edinson Cavani,Luis Suarez,Isco,Matias Vecino,Rodrigo Bentancur,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,134.8,59500
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Rodrigo Bentancur,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,134.7,59000
Edinson Cavani,Sardar Azmoun,David Silva,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,134.6,60000
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Jose Maria Gimenez,Fernando Muslera,134.5,57500
Luis Suarez,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,134.4,59000
Luis Suarez,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Jose Maria Gimenez,Fernando Muslera,134.3,59500
Edinson Cavani,Sardar Azmoun,Isco,Bernardo Silva,Matias Vecino,Sergio Ramos,Jose Maria Gimenez,Fernando Muslera,134.2,60000
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Jose Maria Gimenez,Martin Caceres,Fernando Muslera,134.1,59000
Cristiano Ronaldo,Edinson Cavani,Isco,Hakim Ziyech,Matias Vecino,Mehdi Benatia,Morteza Pouraliganji,Munir Mohand Mohamedi,134.0,60000
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Bernardo Silva,Mehdi Benatia,Morteza Pouraliganji,Fernando Muslera,133.9,59000
Edinson Cavani,Sardar Azmoun,Isco,Hakim Ziyech,Bernardo Silva,Jose Maria Gimenez,Morteza Pouraliganji,Fernando Muslera,133.8,59500
Edinson Cavani,Sardar Azmoun,Isco,Bernardo Silva,Ricardo Quaresma,Mehdi Benatia,Jose Maria Gimenez,Fernando Muslera,133.7,60000
Cristiano Ronaldo,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Mehdi Benatia,Munir Mohand Mohamedi,133.6,59000
Cristiano Ronaldo,Sardar Azmoun,Isco,Hakim Ziyech,Matias Vecino,Achraf Hakimi,Jose Maria Gimenez,Munir Mohand Mohamedi,133.5,59500
Edinson Cavani,Andre Silva,Isco,Hakim Ziyech,Bernardo Silva,Achraf Hakimi,Mehdi Benatia,Fernando Muslera,133.4,60000
Edinson Cavani,Sardar Azmoun,Isco,David Silva,Rodrigo Bentancur,Achraf Hakimi,Jose Maria Gimenez,Munir Mohand Mohamedi,133.3,60000
